iter	Passed	Remaining
0	1	111
1	2	115
2	3	114
3	4	105
4	5	109
5	6	108
6	8	108
7	9	107
8	10	105
9	11	104
10	12	103
11	13	102
12	14	100
13	16	98
14	17	97
15	18	95
16	19	94
17	20	92
18	21	90
19	22	88
20	22	86
21	23	84
22	24	82
23	25	81
24	26	79
25	27	78
26	28	76
27	29	75
28	30	73
29	31	72
30	31	71
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	50	50
50	50	48
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
